t,x,y,z,w,w_pred,v,q
8.3,-30.0,-23.40567,0.8,1.6,1.6,50.0,0.0
8.31,-30.0,-23.335667,0.8,1.6,1.6,50.0,0.0
8.32,-30.0,-23.265663,0.8,1.6,1.6,50.0,0.0
8.33,-30.0,-23.19566,0.8,1.6,1.6,50.0,0.0
8.34,-30.0,-23.125656,0.8,1.6,1.6,50.0,0.0
8.35,-30.0,-23.055653,0.8,1.6,1.6,50.0,0.0
8.36,-30.0,-22.985649,0.8,1.6,1.6,50.0,0.0
8.37,-30.0,-22.915646,0.8,1.6,1.6,50.0,0.0
8.38,-30.0,-22.845642,0.8,1.6,1.6,50.0,0.0
8.39,-30.0,-22.775639,0.8,1.6,1.6,50.0,0.0
8.4,-30.0,-22.705635,0.8,1.6,1.6,50.0,0.0
8.41,-30.0,-22.635632,0.8,1.6,1.6,50.0,0.0
8.42,-30.0,-22.565628,0.8,1.6,1.6,50.0,0.0
8.43,-30.0,-22.495625,0.8,1.6,1.6,50.0,0.0
8.44,-30.0,-22.425621,0.8,1.6,1.6,50.0,0.0
8.45,-30.0,-22.355618,0.8,1.6,1.6,50.0,0.0
8.46,-30.0,-22.285614,0.8,1.6,1.6,50.0,0.0
8.47,-30.0,-22.215611,0.8,1.6,1.6,50.0,0.0
8.48,-30.0,-22.145607,0.8,1.6,1.6,50.0,0.0
8.49,-30.0,-22.075604,0.8,1.6,1.6,50.0,0.0
8.5,-30.0,-22.0056,0.8,1.6,1.6,50.0,0.0
8.51,-30.0,-21.935597,0.8,1.6,1.6,50.0,0.0
8.52,-30.0,-21.865593,0.8,1.6,1.6,50.0,0.0
8.53,-30.0,-21.79559,0.8,1.6,1.6,50.0,0.0
8.54,-30.0,-21.725586,0.8,1.6,1.6,50.0,0.0
8.55,-30.0,-21.655583,0.8,1.6,1.6,50.0,0.0
8.56,-30.0,-21.585579,0.8,1.6,1.6,50.0,0.0
8.57,-30.0,-21.515576,0.8,1.6,1.6,50.0,0.0
8.58,-30.0,-21.445572,0.8,1.6,1.6,50.0,0.0
8.59,-30.0,-21.375569,0.8,1.6,1.6,50.0,0.0
8.6,-30.0,-21.305565,0.8,1.6,1.6,50.0,0.0
8.61,-30.0,-21.235562,0.8,1.6,1.6,50.0,0.0
8.62,-30.0,-21.165558,0.8,1.6,1.6,50.0,0.0
